customers,zip,branchName
258,79705,"Midland - TX"
210,14221,"Buffalo - NY"
178,79707,"Midland - TX"
175,79424,"Lubbock - TX"
159,79706,"Midland - TX"
147,14086,"Orchard Park - NY"
137,79423,"Lubbock - TX"
136,14094,"Buffalo - NY"
130,14450,"Rochester - NY"
124,79762,"Midland - TX"
122,79701,"Midland - TX"
122,17050,"Harrisburg - PA"
119,79765,"Midland - TX"
115,17055,"Harrisburg - PA"
110,14580,"Rochester - NY"
109,40515,"Lexington - KY"
107,06880,"Oxford - CT"
105,14534,"Rochester - NY"
103,06824,"Oxford - CT"
101,78414,"Corpus Christi - TX"
100,23464,"Virginia Beach - VA"
100,40324,"Lexington - KY"
99,14127,"Orchard Park - NY"
98,60137,"Chicago South - IL"
97,14224,"Orchard Park - NY"
94,14051,"Buffalo - NY"
92,06611,"Oxford - CT"
91,79763,"Midland - TX"
90,13027,"Syracuse - NY"
89,40509,"Lexington - KY"
88,40356,"Lexington - KY"
86,23320,"Virginia Beach - VA"
86,40503,"Lexington - KY"
84,14609,"Rochester - NY"
84,40502,"Lexington - KY"
82,40475,"Lexington - KY"
81,79416,"Lubbock - TX"
80,78577,"McAllen - TX"
80,14226,"Buffalo - NY"
79,17011,"Harrisburg - PA"
78,23322,"Virginia Beach - VA"
78,14150,"Buffalo - NY"
77,79764,"Midland - TX"
76,06488,"Oxford - CT"
76,17112,"Harrisburg - PA"
75,78504,"McAllen - TX"
75,11706,"Long Island - NY"
73,23456,"Virginia Beach - VA"
73,14624,"Rochester - NY"
72,40391,"Lexington - KY"
71,14075,"Orchard Park - NY"
71,79761,"Midland - TX"
70,01886,"Boston North Shore - MA"
68,14120,"Buffalo - NY"
66,06830,"Oxford - CT"
65,06614,"Oxford - CT"
65,78413,"Corpus Christi - TX"
64,13090,"Syracuse - NY"
64,06478,"Oxford - CT"
64,11746,"Long Island - NY"
63,40511,"Lexington - KY"
62,78572,"McAllen - TX"
61,17110,"Harrisburg - PA"
61,78410,"Corpus Christi - TX"
60,14526,"Rochester - NY"
60,16046,"Pittsburgh - PA"
60,06470,"Oxford - CT"
60,06484,"Oxford - CT"
60,79407,"Lubbock - TX"
60,79413,"Lubbock - TX"
59,06902,"Oxford - CT"
59,78501,"McAllen - TX"
59,40517,"Lexington - KY"
58,23435,"Newport News - VA"
58,17111,"Harrisburg - PA"
58,60148,"Chicago South - IL"
57,78415,"Corpus Christi - TX"
57,60031,"Chicago North - IL"
56,23454,"Virginia Beach - VA"
56,02895,"Providence - RI"
56,14215,"Orchard Park - NY"
55,23323,"Virginia Beach - VA"
55,23452,"Virginia Beach - VA"
55,02889,"Providence - RI"
55,06410,"Hartford - CT"
55,17019,"Harrisburg - PA"
54,02816,"Providence - RI"
54,06831,"Oxford - CT"
54,79382,"Lubbock - TX"
54,06037,"Hartford - CT"
54,14304,"Buffalo - NY"
53,06903,"Oxford - CT"
53,06820,"Oxford - CT"
53,14225,"Orchard Park - NY"
53,14043,"Orchard Park - NY"
53,23434,"Newport News - VA"
53,79703,"Midland - TX"
52,06460,"Oxford - CT"
52,06877,"Oxford - CT"
52,60010,"Chicago North - IL"
52,14031,"Buffalo - NY"
52,01720,"Boston North Shore - MA"
51,06851,"Oxford - CT"
50,23462,"Virginia Beach - VA"
50,02886,"Providence - RI"
50,06468,"Oxford - CT"
50,08540,"New Jersey Central - NJ"
50,17078,"Harrisburg - PA"
50,14032,"Buffalo - NY"
49,10512,"Westchester - NY"
49,06483,"Oxford - CT"
49,14072,"Orchard Park - NY"
49,78542,"McAllen - TX"
48,15044,"Pittsburgh - PA"
48,17331,"Harrisburg - PA"
47,14618,"Rochester - NY"
47,02864,"Providence - RI"
47,06033,"Hartford - CT"
47,06010,"Hartford - CT"
46,15143,"Pittsburgh - PA"
46,78418,"Corpus Christi - TX"
46,14223,"Buffalo - NY"
46,61761,"Bloomington - IL"
45,06840,"Oxford - CT"
45,06511,"Oxford - CT"
45,23321,"Newport News - VA"
45,03103,"Manchester - NH"
45,40505,"Lexington - KY"
45,14228,"Buffalo - NY"
45,70726,"Baton Rouge - LA"
45,70810,"Baton Rouge - LA"
44,16066,"Pittsburgh - PA"
44,06482,"Oxford - CT"
44,06489,"Hartford - CT"
44,17601,"Harrisburg - PA"
44,60189,"Chicago South - IL"
43,13104,"Syracuse - NY"
43,06897,"Oxford - CT"
43,06825,"Oxford - CT"
43,78539,"McAllen - TX"
43,17202,"Harrisburg - PA"
42,02920,"Providence - RI"
42,02893,"Providence - RI"
42,15108,"Pittsburgh - PA"
42,06770,"Oxford - CT"
42,06473,"Hartford - CT"
42,01824,"Boston North Shore - MA"
42,70769,"Baton Rouge - LA"
41,02852,"Providence - RI"
41,06905,"Oxford - CT"
41,06516,"Oxford - CT"
41,23608,"Newport News - VA"
41,78589,"McAllen - TX"
41,06457,"Hartford - CT"
41,17013,"Harrisburg - PA"
41,60030,"Chicago North - IL"
40,14606,"Rochester - NY"
40,02910,"Providence - RI"
40,02860,"Providence - RI"
40,14052,"Orchard Park - NY"
40,14214,"Orchard Park - NY"
40,14227,"Orchard Park - NY"
40,23666,"Newport News - VA"
40,17015,"Harrisburg - PA"
40,01460,"Boston North Shore - MA"
39,14617,"Rochester - NY"
39,02919,"Providence - RI"
39,15090,"Pittsburgh - PA"
39,06850,"Oxford - CT"
39,40504,"Lexington - KY"
39,17057,"Harrisburg - PA"
39,17036,"Harrisburg - PA"
39,17025,"Harrisburg - PA"
38,02818,"Providence - RI"
38,02888,"Providence - RI"
38,70448,"Northshore - LA"
38,08550,"New Jersey Central - NJ"
38,78541,"McAllen - TX"
38,78412,"Corpus Christi - TX"
38,78411,"Corpus Christi - TX"
38,70808,"Baton Rouge - LA"
37,14626,"Rochester - NY"
37,14612,"Rochester - NY"
37,06776,"Oxford - CT"
37,03104,"Manchester - NH"
37,40513,"Lexington - KY"
37,06074,"Hartford - CT"
37,17325,"Harrisburg - PA"
37,17402,"Harrisburg - PA"
37,60188,"Chicago South - IL"
37,60564,"Chicago South - IL"
37,01742,"Boston North Shore - MA"
36,02703,"Providence - RI"
36,70592,"Lafayette - LA"
36,17603,"Harrisburg - PA"
36,78374,"Corpus Christi - TX"
36,70816,"Baton Rouge - LA"
35,23455,"Virginia Beach - VA"
35,02360,"Providence - RI"
35,15237,"Pittsburgh - PA"
35,14213,"Orchard Park - NY"
35,14004,"Orchard Park - NY"
35,23669,"Newport News - VA"
35,60048,"Chicago North - IL"
35,70737,"Baton Rouge - LA"
34,13126,"Syracuse - NY"
34,14519,"Rochester - NY"
34,06477,"Oxford - CT"
34,06854,"Oxford - CT"
34,70454,"Northshore - LA"
34,23701,"Newport News - VA"
34,70508,"Lafayette - LA"
34,06053,"Hartford - CT"
34,06492,"Hartford - CT"
34,17109,"Harrisburg - PA"
34,17070,"Harrisburg - PA"
34,60103,"Chicago South - IL"
34,60073,"Chicago North - IL"
34,61704,"Bloomington - IL"
33,10509,"Westchester - NY"
33,13212,"Syracuse - NY"
33,14619,"Rochester - NY"
33,14621,"Rochester - NY"
33,06461,"Oxford - CT"
33,03038,"Manchester - NH"
33,40383,"Lexington - KY"
33,06512,"Hartford - CT"
33,17602,"Harrisburg - PA"
33,17403,"Harrisburg - PA"
33,60540,"Chicago South - IL"
32,02904,"Providence - RI"
32,02908,"Providence - RI"
32,06811,"Oxford - CT"
32,06606,"Oxford - CT"
32,14220,"Orchard Park - NY"
32,23703,"Newport News - VA"
32,78574,"McAllen - TX"
32,03053,"Manchester - NH"
32,40601,"Lexington - KY"
32,40514,"Lexington - KY"
32,17042,"Harrisburg - PA"
32,01915,"Boston North Shore - MA"
31,02891,"Providence - RI"
31,02921,"Providence - RI"
31,06812,"Oxford - CT"
31,06883,"Oxford - CT"
31,06801,"Oxford - CT"
31,06878,"Oxford - CT"
31,78596,"McAllen - TX"
31,78526,"McAllen - TX"
31,11743,"Long Island - NY"
31,06082,"Hartford - CT"
31,17406,"Harrisburg - PA"
31,01453,"Boston North Shore - MA"
30,14620,"Rochester - NY"
30,02882,"Providence - RI"
30,06810,"Oxford - CT"
30,14216,"Orchard Park - NY"
30,70461,"Northshore - LA"
30,03110,"Manchester - NH"
30,11704,"Long Island - NY"
30,11717,"Long Island - NY"
30,06360,"Hartford - CT"
30,06040,"Hartford - CT"
30,06437,"Hartford - CT"
30,06405,"Hartford - CT"
30,17022,"Harrisburg - PA"
30,17404,"Harrisburg - PA"
30,60126,"Chicago South - IL"
30,60187,"Chicago South - IL"
30,60046,"Chicago North - IL"
30,12203,"Albany - NY"
30,12065,"Albany - NY"
29,12603,"Westchester - NY"
29,23324,"Virginia Beach - VA"
29,14623,"Rochester - NY"
29,14564,"Rochester - NY"
29,14222,"Orchard Park - NY"
29,78516,"McAllen - TX"
29,06111,"Hartford - CT"
29,17046,"Harrisburg - PA"
29,17408,"Harrisburg - PA"
29,60085,"Chicago North - IL"
28,10960,"Westchester - NY"
28,23453,"Virginia Beach - VA"
28,02909,"Providence - RI"
28,06514,"Oxford - CT"
28,03102,"Manchester - NH"
28,06095,"Hartford - CT"
28,17315,"Harrisburg - PA"
28,60047,"Chicago North - IL"
28,12205,"Albany - NY"
28,12866,"Albany - NY"
27,13088,"Syracuse - NY"
27,14502,"Rochester - NY"
27,15317,"Pittsburgh - PA"
27,15235,"Pittsburgh - PA"
27,06798,"Oxford - CT"
27,06870,"Oxford - CT"
27,70433,"Northshore - LA"
27,70447,"Northshore - LA"
27,23602,"Newport News - VA"
27,08844,"New Jersey Central - NJ"
27,11795,"Long Island - NY"
27,11772,"Long Island - NY"
27,40508,"Lexington - KY"
27,06109,"Hartford - CT"
27,17543,"Harrisburg - PA"
27,78404,"Corpus Christi - TX"
27,14217,"Buffalo - NY"
27,01821,"Boston North Shore - MA"
27,70815,"Baton Rouge - LA"
26,10956,"Westchester - NY"
26,13069,"Syracuse - NY"
26,13066,"Syracuse - NY"
26,02861,"Providence - RI"
26,02879,"Providence - RI"
26,14208,"Orchard Park - NY"
26,14218,"Orchard Park - NY"
26,79766,"Midland - TX"
26,78552,"McAllen - TX"
26,06002,"Hartford - CT"
26,17319,"Harrisburg - PA"
26,60517,"Chicago South - IL"
26,60510,"Chicago South - IL"
26,60565,"Chicago South - IL"
26,60051,"Chicago North - IL"
26,60060,"Chicago North - IL"
26,14305,"Buffalo - NY"
26,12020,"Albany - NY"
25,12590,"Westchester - NY"
25,14586,"Rochester - NY"
25,02813,"Providence - RI"
25,06518,"Oxford - CT"
25,14059,"Orchard Park - NY"
25,08046,"New Jersey Central - NJ"
25,79403,"Lubbock - TX"
25,11937,"Long Island - NY"
25,06704,"Hartford - CT"
25,06443,"Hartford - CT"
25,06790,"Hartford - CT"
25,76092,"Dallas Fort Worth Northwest - TX"
25,78380,"Corpus Christi - TX"
25,60532,"Chicago South - IL"
25,70791,"Baton Rouge - LA"
25,12180,"Albany - NY"
24,13036,"Syracuse - NY"
24,14559,"Rochester - NY"
24,02301,"Providence - RI"
24,02878,"Providence - RI"
24,02780,"Providence - RI"
24,02911,"Providence - RI"
24,15001,"Pittsburgh - PA"
24,15101,"Pittsburgh - PA"
24,14211,"Orchard Park - NY"
24,23601,"Newport News - VA"
24,78520,"McAllen - TX"
24,03109,"Manchester - NH"
24,70506,"Lafayette - LA"
24,70520,"Lafayette - LA"
24,06051,"Hartford - CT"
24,60108,"Chicago South - IL"
24,60099,"Chicago North - IL"
24,14092,"Buffalo - NY"
24,01801,"Boston North Shore - MA"
23,14610,"Rochester - NY"
23,34787,"Orlando West - FL"
23,14206,"Orchard Park - NY"
23,03054,"Manchester - NH"
23,11779,"Long Island - NY"
23,11787,"Long Island - NY"
23,11729,"Long Island - NY"
23,11741,"Long Island - NY"
23,06450,"Hartford - CT"
23,06340,"Hartford - CT"
23,17545,"Harrisburg - PA"
23,60175,"Chicago South - IL"
23,60102,"Chicago North - IL"
23,14174,"Buffalo - NY"
23,01876,"Boston North Shore - MA"
22,12550,"Westchester - NY"
22,13219,"Syracuse - NY"
22,13032,"Syracuse - NY"
22,13021,"Syracuse - NY"
22,14613,"Rochester - NY"
22,14467,"Rochester - NY"
22,14616,"Rochester - NY"
22,02806,"Providence - RI"
22,02906,"Providence - RI"
22,06605,"Oxford - CT"
22,06896,"Oxford - CT"
22,14207,"Orchard Park - NY"
22,70403,"Northshore - LA"
22,23692,"Newport News - VA"
22,79410,"Lubbock - TX"
22,11758,"Long Island - NY"
22,11763,"Long Island - NY"
22,40361,"Lexington - KY"
22,06118,"Hartford - CT"
22,06108,"Hartford - CT"
22,06415,"Hartford - CT"
22,60083,"Chicago North - IL"
22,01432,"Boston North Shore - MA"
22,61705,"Bloomington - IL"
22,12054,"Albany - NY"
22,12309,"Albany - NY"
21,12533,"Westchester - NY"
21,10901,"Westchester - NY"
21,13031,"Syracuse - NY"
21,13208,"Syracuse - NY"
21,13078,"Syracuse - NY"
21,02136,"Providence - RI"
21,02905,"Providence - RI"
21,02822,"Providence - RI"
21,06418,"Oxford - CT"
21,06515,"Oxford - CT"
21,06612,"Oxford - CT"
21,06762,"Oxford - CT"
21,70435,"Northshore - LA"
21,70458,"Northshore - LA"
21,23185,"Newport News - VA"
21,08822,"New Jersey Central - NJ"
21,79414,"Lubbock - TX"
21,11722,"Long Island - NY"
21,06708,"Hartford - CT"
21,06107,"Hartford - CT"
21,06117,"Hartford - CT"
21,17268,"Harrisburg - PA"
21,20147,"DC West - DC"
21,60423,"Chicago South - IL"
21,60134,"Chicago South - IL"
21,14108,"Buffalo - NY"
21,02151,"Boston North Shore - MA"
21,01960,"Boston North Shore - MA"
21,02155,"Boston North Shore - MA"
21,70817,"Baton Rouge - LA"
20,10583,"Westchester - NY"
20,13039,"Syracuse - NY"
20,14428,"Rochester - NY"
20,15214,"Pittsburgh - PA"
20,15136,"Pittsburgh - PA"
20,06890,"Oxford - CT"
20,70471,"Northshore - LA"
20,08060,"New Jersey Central - NJ"
20,78537,"McAllen - TX"
20,79363,"Lubbock - TX"
20,11967,"Long Island - NY"
20,70583,"Lafayette - LA"
20,70501,"Lafayette - LA"
20,70507,"Lafayette - LA"
20,06001,"Hartford - CT"
20,20164,"DC West - DC"
20,20165,"DC West - DC"
20,60124,"Chicago South - IL"
20,60516,"Chicago South - IL"
20,60440,"Chicago South - IL"
20,60101,"Chicago South - IL"
20,60193,"Chicago South - IL"
20,60142,"Chicago North - IL"
20,60016,"Chicago North - IL"
20,60035,"Chicago North - IL"
20,60050,"Chicago North - IL"
20,14001,"Buffalo - NY"
20,14132,"Buffalo - NY"
20,01923,"Boston North Shore - MA"
20,70806,"Baton Rouge - LA"
19,12563,"Westchester - NY"
19,10954,"Westchester - NY"
19,10541,"Westchester - NY"
19,23513,"Virginia Beach - VA"
19,23451,"Virginia Beach - VA"
19,23518,"Virginia Beach - VA"
19,13215,"Syracuse - NY"
19,13057,"Syracuse - NY"
19,02907,"Providence - RI"
19,02302,"Providence - RI"
19,02026,"Providence - RI"
19,02131,"Providence - RI"
19,02865,"Providence - RI"
19,02871,"Providence - RI"
19,06615,"Oxford - CT"
19,14210,"Orchard Park - NY"
19,23704,"Newport News - VA"
19,79412,"Lubbock - TX"
19,11727,"Long Island - NY"
19,11751,"Long Island - NY"
19,11768,"Long Island - NY"
19,11572,"Long Island - NY"
19,70503,"Lafayette - LA"
19,06032,"Hartford - CT"
19,06013,"Hartford - CT"
19,06066,"Hartford - CT"
19,17113,"Harrisburg - PA"
19,22015,"DC West - DC"
19,60502,"Chicago South - IL"
19,60543,"Chicago South - IL"
19,60004,"Chicago North - IL"
19,01420,"Boston North Shore - MA"
19,70814,"Baton Rouge - LA"
19,12303,"Albany - NY"
18,13152,"Syracuse - NY"
18,14468,"Rochester - NY"
18,14425,"Rochester - NY"
18,02021,"Providence - RI"
18,02842,"Providence - RI"
18,02359,"Providence - RI"
18,02368,"Providence - RI"
18,15116,"Pittsburgh - PA"
18,06853,"Oxford - CT"
18,06525,"Oxford - CT"
18,23430,"Newport News - VA"
18,23607,"Newport News - VA"
18,23693,"Newport News - VA"
18,79411,"Lubbock - TX"
18,79415,"Lubbock - TX"
18,11798,"Long Island - NY"
18,06451,"Hartford - CT"
18,06067,"Hartford - CT"
18,17257,"Harrisburg - PA"
18,17356,"Harrisburg - PA"
18,60441,"Chicago South - IL"
18,60560,"Chicago South - IL"
18,60084,"Chicago North - IL"
18,01451,"Boston North Shore - MA"
18,01730,"Boston North Shore - MA"
18,70820,"Baton Rouge - LA"
17,10605,"Westchester - NY"
17,10580,"Westchester - NY"
17,13041,"Syracuse - NY"
17,13210,"Syracuse - NY"
17,13205,"Syracuse - NY"
17,14420,"Rochester - NY"
17,14625,"Rochester - NY"
17,14445,"Rochester - NY"
17,14611,"Rochester - NY"
17,02917,"Providence - RI"
17,02840,"Providence - RI"
17,02915,"Providence - RI"
17,15220,"Pittsburgh - PA"
17,15003,"Pittsburgh - PA"
17,15102,"Pittsburgh - PA"
17,06804,"Oxford - CT"
17,06610,"Oxford - CT"
17,06517,"Oxford - CT"
17,14201,"Orchard Park - NY"
17,23606,"Newport News - VA"
17,23664,"Newport News - VA"
17,23188,"Newport News - VA"
17,23707,"Newport News - VA"
17,08807,"New Jersey Central - NJ"
17,08873,"New Jersey Central - NJ"
17,78503,"McAllen - TX"
17,78573,"McAllen - TX"
17,03051,"Manchester - NH"
17,11725,"Long Island - NY"
17,11788,"Long Island - NY"
17,11738,"Long Island - NY"
17,11702,"Long Island - NY"
17,40330,"Lexington - KY"
17,40390,"Lexington - KY"
17,06413,"Hartford - CT"
17,06042,"Hartford - CT"
17,06385,"Hartford - CT"
17,17349,"Harrisburg - PA"
17,60439,"Chicago South - IL"
17,60506,"Chicago South - IL"
17,60174,"Chicago South - IL"
17,60190,"Chicago South - IL"
17,60156,"Chicago North - IL"
17,12010,"Albany - NY"
16,10567,"Westchester - NY"
16,10598,"Westchester - NY"
16,23503,"Virginia Beach - VA"
16,23325,"Virginia Beach - VA"
16,13209,"Syracuse - NY"
16,13224,"Syracuse - NY"
16,14568,"Rochester - NY"
16,02072,"Providence - RI"
16,02760,"Providence - RI"
16,02809,"Providence - RI"
16,01760,"Providence - RI"
16,01757,"Providence - RI"
16,15229,"Pittsburgh - PA"
16,06401,"Oxford - CT"
16,06906,"Oxford - CT"
16,23661,"Newport News - VA"
16,23851,"Newport News - VA"
16,78521,"McAllen - TX"
16,03045,"Manchester - NH"
16,11801,"Long Island - NY"
16,11735,"Long Island - NY"
16,11784,"Long Island - NY"
16,11720,"Long Island - NY"
16,17003,"Harrisburg - PA"
16,17053,"Harrisburg - PA"
16,17552,"Harrisburg - PA"
16,17320,"Harrisburg - PA"
16,17033,"Harrisburg - PA"
16,17225,"Harrisburg - PA"
16,60477,"Chicago South - IL"
16,60007,"Chicago South - IL"
16,60068,"Chicago North - IL"
16,60118,"Chicago North - IL"
16,60014,"Chicago North - IL"
16,60076,"Chicago North - IL"
16,01887,"Boston North Shore - MA"
16,02180,"Boston North Shore - MA"
16,02472,"Boston North Shore - MA"
16,61701,"Bloomington - IL"
16,12302,"Albany - NY"
16,12019,"Albany - NY"
15,12601,"Westchester - NY"
15,10536,"Westchester - NY"
15,23502,"Virginia Beach - VA"
15,13206,"Syracuse - NY"
15,13037,"Syracuse - NY"
15,14472,"Rochester - NY"
15,14622,"Rochester - NY"
15,14607,"Rochester - NY"
15,14424,"Rochester - NY"
15,14615,"Rochester - NY"
15,02571,"Providence - RI"
15,01569,"Providence - RI"
15,15205,"Pittsburgh - PA"
15,15668,"Pittsburgh - PA"
15,15146,"Pittsburgh - PA"
15,15005,"Pittsburgh - PA"
15,15209,"Pittsburgh - PA"
15,15228,"Pittsburgh - PA"
15,06403,"Oxford - CT"
15,34711,"Orlando West - FL"
15,34786,"Orlando West - FL"
15,08054,"New Jersey Central - NJ"
15,78599,"McAllen - TX"
15,03060,"Manchester - NH"
15,03079,"Manchester - NH"
15,03820,"Manchester - NH"
15,11803,"Long Island - NY"
15,11731,"Long Island - NY"
15,11791,"Long Island - NY"
15,11520,"Long Island - NY"
15,70529,"Lafayette - LA"
15,70518,"Lafayette - LA"
15,06705,"Hartford - CT"
15,21740,"Harrisburg - PA"
15,17370,"Harrisburg - PA"
15,17104,"Harrisburg - PA"
15,17522,"Harrisburg - PA"
15,17222,"Harrisburg - PA"
15,76248,"Dallas Fort Worth Northwest - TX"
15,76034,"Dallas Fort Worth Northwest - TX"
15,75028,"Dallas Fort Worth Northwest - TX"
15,78416,"Corpus Christi - TX"
15,60120,"Chicago South - IL"
15,60185,"Chicago South - IL"
15,60443,"Chicago South - IL"
15,60515,"Chicago South - IL"
15,60062,"Chicago North - IL"
15,60081,"Chicago North - IL"
15,60089,"Chicago North - IL"
15,60025,"Chicago North - IL"
